reporting_period_end,value
30-04-20,6043065
30-06-20,6197960
31-05-20,6696440
2020-08-31,4331075
2020-09-30,5031125
2020-10-31,5421570
2020-11-30,5514390
2020-12-31,5277980
2021-01-31,5173625
2021-02-28,4860425
2021-03-31,5885865
2021-04-30,5822725
2021-05-31,5855465
2021-06-30,6200330
2021-07-31,6387360
2021-08-31,5808925
2021-09-30,6280980
2021-10-31,6148825
2021-11-30,6701350
2021-12-31,5957205
2022-01-31,6381425
2022-02-28,5885460
2022-03-31,6839095
2022-07-31,6291975
2022-08-31,6249265
2022-09-30,6176770
2022-10-31,6113690
2022-11-30,6684645
2022-12-31,5941620
2023-01-31,6552455
2023-02-28,5935540
2023-03-31,6752260
2023-04-30,5792185
2023-05-31,6501985
2023-06-30,6636080
2023-07-31,6397085
